	18S_1.EEC08	18S_1.EEC14	18S_1.EEC18	18S_1.EEC21	18S_1.EEC23	18S_1.EEC30	18S_2.EEC31	18S_2.EEC32	18S_2.EEC34	18S_2.EEC39	18S_2.EEC43	18S_2.EEC44	18S_2.EEC46	18S_2.EEC50	18S_2.EEC53
ASV 1 _	0	296	3745	231	10959	0	8936	139	490	0	10707	831	1506	4199	164
ASV 2 _	1089	26	0	100	0	32	202	6002	99	0	2454	3224	8803	477	2661
ASV 3 _	424	777	4141	210	85	468	5024	7981	0	671	243	1546	0	3257	3
ASV 4 _	5446	0	643	3672	0	3611	143	0	0	0	726	563	758	36	753
ASV 5 _	1311	0	3031	488	974	60	10	3894	0	607	126	0	59	457	10
ASV 6 _	0	0	0	7	0	0	4	423	1190	3	0	10	0	261	5690
ASV 7 _	367	473	408	1569	0	691	114	351	0	1854	50	137	38	15	371
ASV 8 _	0	143	0	258	120	28	412	46	1	0	0	846	0	4380	21
ASV 9 _	0	0	0	62	0	0	0	0	145	0	0	0	4027	0	5
ASV 10 _	81	391	0	35	0	16	109	28	1135	1623	73	0	93	471	148
ASV 11 _	0	137	0	0	155	19	51	0	3052	0	0	0	0	6	0
ASV 12 _	437	800	0	249	0	1045	0	0	0	149	0	7	599	2	0
ASV 13 _	0	14	0	7	2629	527	54	9	0	0	0	2	0	32	6
ASV 14 _	380	70	0	523	0	157	0	16	206	558	27	63	0	17	844
ASV 15 _	988	531	0	171	40	665	31	0	0	186	0	30	0	141	43
ASV 16 _	85	170	0	1928	0	404	0	0	0	237	0	2	0	0	0
ASV 17 _	788	451	0	116	0	21	0	8	318	209	61	99	0	36	669
ASV 18 _	0	0	0	0	0	0	5	55	0	0	13	137	2426	8	81
ASV 19 _	0	266	825	322	15	5	8	15	0	79	21	20	883	46	51
ASV 20 _	268	0	0	0	87	1926	12	0	0	0	12	0	0	0	0
ASV 21 _	0	0	0	127	0	0	0	0	0	2083	0	0	0	0	0
ASV 22 _	177	58	206	0	172	86	635	70	0	65	57	202	0	190	195
ASV 23 _	757	34	0	0	0	44	129	0	0	0	390	5	0	137	432
ASV 24 _	230	18	0	733	0	438	0	0	0	400	0	0	0	0	0
ASV 25 _	284	282	0	643	0	545	0	0	0	24	0	0	0	0	0
ASV 26 _	83	212	144	1121	11	41	66	0	0	17	0	15	42	20	6
ASV 27 _	0	0	398	0	0	0	5	0	0	0	1298	4	0	44	0
ASV 28 _	119	19	0	12	0	221	52	6	145	14	42	124	0	645	328
ASV 29 _	0	0	934	8	0	0	0	0	0	0	732	8	0	11	0
