	SRR6860659	SRR6860660	SRR6860663	SRR6860665	SRR6860667	SRR6860668	SRR6860669	SRR6860671	SRR6860672	SRR6860674	SRR6860676	SRR6860679	SRR6860681	SRR6860682	SRR6860685
ASV 1 _	0	3	18564	780	73	19519	66	10939	975	24376	14199	337	21195	29959	395
ASV 2 _	4999	15	99	38	5635	11271	949	9992	783	53	2928	6403	3545	8230	7573
ASV 3 _	4	603	127	2282	95	121	340	5121	8118	264	236	8082	2023	318	4497
ASV 4 _	9918	3	1814	14	84	78	3572	221	3278	199	121	1265	263	1690	247
ASV 5 _	43	1	527	0	7016	12	29	10441	457	1966	8	18	82	0	194
ASV 6 _	0	66	12	0	9	8993	1	59	77	182	3195	125	1732	4037	10
ASV 7 _	1516	1	7	0	15833	109	75	0	50	0	0	0	0	0	1
ASV 8 _	90	3	14489	0	2150	4	2	0	16	34	2	0	39	2	29
ASV 9 _	10	2065	1	1	3	74	5	49	35	13229	15	16	5	115	13
ASV 10 _	336	583	574	481	1188	3831	248	1122	364	68	1095	219	15	2906	81
ASV 11 _	100	64	276	1058	265	39	293	65	1018	33	60	5135	127	171	1147
ASV 12 _	600	62	828	432	1374	1003	452	1127	568	16	738	183	42	1780	40
ASV 13 _	0	180	53	6	15	2897	5	63	16	22	9	31	3955	47	206
ASV 14 _	5	2	1742	45	58	50	363	1071	206	115	30	3162	152	173	68
ASV 15 _	0	10	14	52	0	2730	12	10	16	168	236	6	783	2988	47
ASV 16 _	12	7	79	141	10	2470	151	34	560	39	688	35	69	2077	25
ASV 17 _	5	209	536	28	46	3761	0	343	2	62	521	6	15	462	4
ASV 18 _	11	0	3677	30	119	346	9	126	178	102	60	986	156	60	25
ASV 19 _	0	1	300	0	652	3	0	3756	5	64	0	4	0	3	0
ASV 20 _	139	14	886	413	975	86	166	699	182	288	432	130	44	249	12
ASV 21 _	358	23	67	990	93	694	825	408	288	0	481	22	2	416	10
ASV 22 _	161	80	364	19	1889	856	23	163	153	298	140	130	181	101	113
ASV 23 _	4	3	340	727	33	2	158	56	51	258	34	2588	11	363	13
ASV 24 _	2079	22	27	378	229	91	820	128	321	9	32	332	49	38	38
ASV 25 _	20	93	87	19	114	2972	6	167	13	428	46	66	72	277	59
ASV 26 _	0	0	20	4	0	0	2	4	1808	0	1	2045	29	3	337
ASV 27 _	0	0	0	0	94	1	11	3479	0	0	49	113	0	506	0
ASV 28 _	2	2	252	0	1054	0	0	2844	0	26	8	11	4	10	3
ASV 29 _	0	0	0	3681	0	455	3	1	0	0	5	0	20	29	22
ASV 30 _	8	0	1	659	0	7	269	9	718	0	18	2038	23	265	148
ASV 31 _	16	0	31	1	58	673	1	136	44	1085	343	181	566	43	945
ASV 32 _	223	6	0	63	273	77	187	131	0	13	249	1930	12	848	4
ASV 33 _	636	4	1	355	34	27	1397	97	683	2	47	359	2	188	15
ASV 34 _	121	14	30	172	289	5	179	20	483	5	14	2223	6	26	154
ASV 35 _	121	2	0	4	43	451	67	147	147	0	92	540	387	554	1029
ASV 36 _	0	0	0	24	0	0	5	0	105	0	0	3392	0	1	0
ASV 37 _	270	13	678	150	51	676	415	78	57	1	582	255	2	112	30
ASV 38 _	0	26	43	18	197	624	4	108	32	57	100	70	1723	169	47
ASV 39 _	8	5	0	94	0	785	43	1	36	14	1225	1	18	935	6
ASV 40 _	374	13	774	27	637	37	9	439	49	1	206	63	0	417	9
ASV 41 _	0	0	251	0	635	0	0	2083	4	34	19	6	0	11	3
ASV 42 _	47	48	301	240	257	140	60	19	419	202	104	571	410	158	13
ASV 43 _	97	3	26	244	130	158	93	516	735	0	213	110	3	642	17
ASV 44 _	371	162	160	35	823	60	257	311	212	2	158	270	11	132	20
ASV 45 _	0	0	12	0	0	6	0	0	0	0	0	0	2870	3	50
ASV 46 _	0	3	253	78	142	39	327	0	77	24	0	1973	4	14	3
ASV 47 _	0	2	2	5	76	49	0	2679	25	0	5	2	1	13	0
ASV 48 _	301	38	474	125	422	57	413	291	454	0	59	27	6	29	4
ASV 49 _	1169	5	0	13	944	0	47	13	255	6	0	43	23	14	41
ASV 50 _	0	18	5	27	5	1397	1	13	0	4	20	113	445	186	262
ASV 51 _	59	21	193	38	479	13	139	17	543	4	74	666	71	92	70
ASV 52 _	0	56	81	154	196	561	23	470	333	8	5	141	13	132	145
ASV 53 _	30	0	46	9	596	19	33	566	369	28	48	107	157	244	17
ASV 54 _	107	17	0	36	461	0	243	16	460	0	54	803	0	44	22
ASV 55 _	266	2	8	352	175	90	451	44	243	5	31	268	2	93	43
ASV 56 _	216	133	181	120	426	174	47	30	80	0	177	150	0	280	35
ASV 57 _	0	0	3	7	3	0	4	32	218	8	2	1541	22	12	195
ASV 58 _	31	0	49	616	5	0	99	26	1076	31	9	44	22	0	31
ASV 59 _	6	151	0	0	9	1242	22	174	10	10	93	70	0	206	2
ASV 60 _	276	20	24	319	102	17	493	78	136	0	227	179	2	103	5
ASV 61 _	46	19	11	6	25	185	24	34	7	0	173	7	2	1373	0
ASV 62 _	4	2	12	0	75	148	1	54	34	16	80	118	761	343	101
ASV 63 _	86	14	64	206	66	127	88	137	29	3	344	58	7	494	10
ASV 64 _	0	0	4	46	0	0	0	0	24	5	0	1377	42	4	218
ASV 65 _	1	0	0	1	0	14	42	124	0	46	21	76	0	1367	20
ASV 66 _	0	0	693	6	13	0	0	3	34	852	0	0	55	0	37
ASV 67 _	133	0	0	0	1501	0	0	0	0	0	0	0	0	0	0
ASV 68 _	4	0	527	3	1040	0	0	0	5	1	0	0	6	3	17
ASV 69 _	121	10	7	117	13	14	178	16	185	0	10	746	4	19	162
ASV 70 _	0	0	0	9	21	180	1	152	0	0	210	3	0	1011	6
ASV 71 _	14	0	1332	0	220	0	0	0	0	1	0	0	0	1	2
ASV 72 _	269	21	43	56	111	215	20	257	112	3	51	160	39	67	143
ASV 73 _	0	0	0	0	0	1	0	16	0	0	0	1550	0	0	0
ASV 74 _	163	98	43	17	525	166	71	172	45	7	45	91	13	66	8
ASV 75 _	19	7	65	24	60	473	9	20	67	33	57	103	410	49	102
ASV 76 _	26	20	1	810	171	16	2	18	68	9	2	169	13	36	106
ASV 77 _	6	0	95	551	37	2	564	11	139	18	9	10	3	3	8
ASV 78 _	126	3	5	204	86	86	83	24	32	4	476	134	3	184	2
ASV 79 _	98	0	9	237	63	29	476	89	312	1	33	47	6	16	27
ASV 80 _	139	5	7	165	66	68	430	61	115	0	75	138	2	150	19
ASV 81 _	340	0	124	33	23	119	40	3	5	4	131	8	8	578	1
ASV 82 _	4	54	54	0	8	1048	0	11	0	120	48	4	2	26	4
ASV 83 _	17	0	87	40	6	179	154	13	704	15	23	0	18	91	17
ASV 84 _	0	0	864	0	0	0	0	0	3	469	0	0	12	0	6
ASV 85 _	0	0	5	613	8	82	71	32	374	8	54	28	20	23	25
ASV 86 _	140	15	227	97	8	80	82	2	264	4	21	258	20	48	65
ASV 87 _	0	16	11	0	17	0	0	3	0	19	0	2	1228	3	11
ASV 88 _	0	0	33	9	203	4	0	931	11	81	0	0	0	0	0
ASV 89 _	23	6	42	97	2	85	199	78	536	10	65	33	8	61	20
ASV 90 _	51	0	5	317	0	0	668	0	198	0	1	7	2	0	4
ASV 91 _	84	9	31	19	629	5	94	23	103	3	21	85	63	21	34
ASV 92 _	0	302	28	3	345	220	4	214	0	2	8	0	1	76	0
ASV 93 _	27	0	216	42	5	133	470	113	74	41	24	11	9	1	20
ASV 94 _	9	3	0	663	0	63	12	7	167	24	64	13	12	109	15
ASV 95 _	15	3	0	14	11	893	6	24	7	0	76	4	4	78	2
ASV 96 _	617	0	26	1	41	0	120	82	2	0	71	6	0	149	0
ASV 97 _	4	0	0	0	33	9	19	599	0	43	41	130	5	227	0
ASV 98 _	3	0	311	0	14	5	0	8	3	734	5	0	5	1	19
ASV 99 _	31	38	204	322	21	171	29	25	141	1	18	50	1	38	15
ASV 100 _	131	59	6	138	29	60	16	18	29	0	178	136	1	290	10
ASV 101 _	189	0	9	89	71	33	519	16	99	0	29	5	3	20	5
ASV 102 _	0	0	0	0	0	0	0	0	0	6	0	280	0	0	801
ASV 103 _	2	0	36	524	0	2	161	0	315	4	1	27	3	1	6
ASV 104 _	0	0	620	0	173	8	1	213	0	1	33	0	0	32	0
ASV 105 _	23	0	12	36	0	429	249	29	223	4	6	22	2	26	6
ASV 106 _	1001	0	1	0	61	0	0	0	0	0	0	0	0	2	0
ASV 107 _	31	7	7	65	0	122	469	28	292	9	2	17	4	3	5
ASV 108 _	96	3	5	249	4	87	341	7	137	0	65	8	0	39	3
ASV 109 _	0	0	2	97	0	178	0	0	0	0	22	76	81	482	106
ASV 110 _	19	5	0	0	0	37	215	0	0	0	13	663	0	78	0
ASV 111 _	0	4	0	0	1	46	0	1	1	5	583	0	16	370	1
ASV 112 _	10	0	504	0	412	0	0	96	0	0	0	0	0	0	1
ASV 113 _	41	14	3	117	219	27	19	20	132	0	22	313	0	85	0
ASV 114 _	0	4	6	50	8	214	0	42	7	14	115	13	88	431	0
ASV 115 _	202	1	3	553	0	5	48	1	138	3	2	7	7	3	6
ASV 116 _	13	4	88	145	19	29	169	98	244	33	6	55	15	18	35
ASV 117 _	114	0	0	58	1	4	196	0	410	0	1	170	2	3	7
ASV 118 _	24	4	117	2	196	200	2	9	13	20	40	12	285	34	7
ASV 119 _	0	21	85	0	77	95	0	24	6	25	367	1	12	246	0
ASV 120 _	266	106	64	0	177	253	9	55	5	0	0	3	4	13	0
ASV 121 _	0	63	12	0	0	30	0	5	10	12	5	12	785	18	0
ASV 122 _	0	0	160	0	0	13	1	109	13	125	113	0	128	264	0
ASV 123 _	0	0	0	2	12	0	798	27	28	0	41	10	0	0	0
ASV 124 _	0	0	111	0	43	21	2	209	3	407	81	0	4	31	0
ASV 125 _	15	0	0	15	0	0	271	9	0	0	0	565	1	2	29
ASV 126 _	0	3	21	411	0	0	218	0	193	17	0	15	4	0	24
ASV 127 _	106	0	20	230	5	9	22	0	140	0	7	308	11	8	23
ASV 128 _	0	0	605	21	0	5	5	3	189	33	0	0	6	0	20
ASV 129 _	109	9	0	83	0	9	171	0	239	0	7	216	9	13	15
ASV 130 _	121	0	2	0	695	0	8	39	5	0	1	0	0	0	1
