Run	Collection_Date	Depth	env_biome	collection_date	Kd	PAR	Temperature	Salinity	Oxygen	pH	No3+No2	PO4	SiOH4	POC	PON	SPM	CHLa	N/P	season	thesis_name
SRR6860685	2013/2015	5	sea water	2/26/2013	0.49	7.46	5.87	34.3	7.08	8.22	7.35	0.41	1.14	370.43	71.69	3.07	9.95	17.93	spring	sample_14_2013_02
SRR6860681	2013/2015	5	sea water	4/8/2013	0.49	21.41	5.44	34.41	7.2	8.29	2.89	0.25	0.01	412.04	80.24	6.16	4.42	11.56	spring	sample_15_2013_04
SRR6860674	2013/2015	5	sea water	5/27/2013	0.23	40.31	11.26	34.1	6.57	8.38	2.1	0.04	0.01	271.12	48.88	1.18	1.94	52.5	spring	sample_16_2013_05
SRR6860663	2013/2015	5	sea water	7/22/2013	0.23	46.11	17.31	34.18	5.31	8.28	0.28	0.06	0.79	451.24	50.37	0.65	2.07	4.67	summer	sample_17_2013_07
SRR6860672	2013/2015	5	sea water	12/2/2013	0.36	4.44	10.2	33.73	6.09	8.17	24.1	0.59	12.9	64.78	28.95	6.39	1.51	40.85	winter	sample_18_2013_12
SRR6860665	2013/2015	5	sea water	2/17/2014	0.46	9.19	7.89	33.28	6.47	8.01	26.71	0.56	10.66	207.58	44.25	6.15	2.12	47.7	spring	sample_19_2014_02
SRR6860668	2013/2015	5	sea water	4/15/2014	0.68	28.95	10.93	34.39	7.46	8.33	0.56	0.36	0.51	820.24	140.32	3.56	5.91	1.56	spring	sample_20_2014_04
SRR6860660	2013/2015	5	sea water	5/26/2014	0.19	33.99	14.16	34.29	5.91	8.19	0.07	0.01	1.8	330.65	84.45	1.2	1.34	7	spring	sample_21_2014_05
SRR6860659	2013/2015	5	sea water	9/22/2014	0.31	22.45	18.47	34.35	4.92	8.1	1.1	0.16	3.25	228.92	50.88	2.01	2.89	6.88	summer	sample_22_2014_09
SRR6860669	2013/2015	5	sea water	12/4/2014	0.68	2.28	11.69	34.21	5.71	8.12	13.8	0.47	4.94	198.4	46.25	14.22	2.46	29.36	winter	sample_23_2014_12
SRR6860679	2013/2015	5	sea water	2/18/2015	0.64	11.53	6.44	33.73	7.41	8.14	13.74	0.32	4.64	345	65.8	19.96	2.85	42.94	summer	sample_24_2015_02
SRR6860682	2013/2015	5	sea water	4/7/2015	0.73	17.28	8.98	33.72	7.35	8.3	7.47	0.02	0.41	288.4	55	9.03	8.12	373.5	spring	sample_25_2015_04
SRR6860676	2013/2015	5	sea water	4/20/2015	0.57	30.54	10.31	33.96	8.18	8.38	1.35	0.08	0.38	928.84	180.53	4.97	9.14	16.88	spring	sample_26_2015_04
SRR6860671	2013/2015	5	sea water	6/4/2015	0.23	36.02	14.58	34.01	6.12	8.24	1.19	0.21	0.29	1125.8	103.8	3.58	4.64	5.67	summer	sample_27_2015_06
SRR6860667	2013/2015	5	sea water	7/15/2015	0.25	28.39	17.89	34.19	5.07	8.09	0.19	0.06	0.89	355.6	75.9	22.62	1.33	3.17	summer	sample_28_2015_07
