	DRR180256_1.fastq	DRR180257_1.fastq	DRR180258_1.fastq	DRR180261_1.fastq	DRR180267_1.fastq	DRR180268_1.fastq	DRR180269_1.fastq	DRR180272_1.fastq	DRR180278_1.fastq	DRR180279_1.fastq	DRR180280_1.fastq	DRR180283_1.fastq	DRR180288_1.fastq	DRR180289_1.fastq	DRR180290_1.fastq	DRR180293_1.fastq
ASV 1 _	22	26	630	234	213	466	1771	211	21209	7834	7696	448	0	0	20	1629
ASV 2 _	48	22	204	3	7	5	11	1	24773	9862	6366	1	0	0	23	0
ASV 3 _	684	295	5025	331	50	143	375	488	11842	4649	7029	1687	23	0	1414	2702
ASV 4 _	0	0	35	2493	16	75	45	5112	16	14	12	19699	7	22	15	8166
ASV 5 _	4	0	3	4	4881	12201	12204	0	323	222	845	0	9	4	3	2
ASV 6 _	1727	1082	3197	52	0	0	0	183	14155	5122	2652	245	217	105	1358	135
ASV 7 _	13	9	685	49	0	0	0	735	0	0	3	25071	0	0	119	2089
ASV 8 _	0	0	0	2	1015	2364	2245	0	5859	3278	13787	2	0	0	0	0
ASV 9 _	0	18	50	107	0	5	0	143	0	0	0	26915	5	6	3	533
ASV 10 _	0	40	60	293	0	0	0	120	0	0	11	20947	0	0	0	5184
ASV 11 _	17	0	10	251	10	30	0	4625	0	11	16	15523	15	0	0	860
ASV 12 _	0	0	0	2	61	110	707	17	9305	1892	8307	18	2	0	0	13
ASV 13 _	12	1	45	0	0	3	13	10	12138	2698	3051	17	0	0	24	140
ASV 14 _	105	57	367	1899	0	15	17	1221	48	58	15	12428	0	17	0	906
ASV 15 _	0	11	11	74	20	52	28	11793	0	5	19	4788	0	9	1	14
ASV 16 _	7	3	30	0	23	39	214	0	12302	1777	2170	2	17	0	29	23
ASV 17 _	0	0	0	0	6	21	39	0	9830	3362	2668	28	0	0	0	134
ASV 18 _	1071	608	2697	59	80	183	244	133	4924	1716	1624	232	481	279	1227	407
ASV 19 _	5	10	0	8007	0	5	2	2966	0	0	7	1179	4	3	0	2253
ASV 20 _	522	295	738	53	133	370	769	141	4212	1841	2714	411	163	46	271	703
ASV 21 _	0	0	178	3	1633	4197	4342	1	1110	429	498	4	4	0	17	5
ASV 22 _	0	0	5	6	1819	4446	4728	0	626	362	271	1	4	3	0	0
ASV 23 _	4	5	2	8	1757	4041	4936	0	160	69	71	0	4	6	7	0
ASV 24 _	16	8	0	147	0	28	12	2447	12	2	26	2963	0	3	0	5065
ASV 25 _	3511	1664	1478	4	1	0	3	0	60	37	10	0	1946	650	1167	13
ASV 26 _	133	157	0	0	0	6	3	0	13	0	6	0	8402	1424	0	0
ASV 27 _	0	0	382	5	1512	3232	3730	13	370	216	191	17	0	0	13	432
ASV 28 _	0	0	0	743	0	0	0	1705	0	0	0	4511	0	0	0	2880
ASV 29 _	0	0	10	160	6	0	6	1929	0	0	5	6982	0	0	12	80
ASV 30 _	2025	1210	1969	10	0	0	0	19	0	0	0	6	1207	473	2198	18
ASV 31 _	1958	1153	115	136	0	0	0	266	4	7	3	1068	0	3	0	4253
ASV 32 _	20	13	227	1851	4	0	1	2042	5	2	3	880	0	9	178	3696
ASV 33 _	21	36	62	163	15	10	16	2280	24	13	30	1056	1025	43	22	3858
ASV 34 _	0	12	9	245	0	11	0	1441	2	9	3	4450	6	17	0	1983
ASV 35 _	0	0	3	73	0	0	0	5536	0	0	0	412	0	0	0	1505
ASV 36 _	980	711	2012	212	15	27	37	311	2	3	2	113	1401	749	268	644
ASV 37 _	0	0	11	962	6	14	21	935	0	0	0	617	0	0	0	4791
ASV 38 _	565	472	399	200	168	191	295	405	409	185	181	280	2112	818	170	337
ASV 39 _	710	656	968	0	417	417	960	25	695	308	156	81	665	552	320	83
ASV 40 _	565	465	423	103	0	0	11	126	56	25	15	39	3942	447	321	169
ASV 41 _	1558	758	412	259	18	65	113	813	494	199	174	297	0	3	0	1444
ASV 42 _	660	750	643	47	148	108	190	201	322	230	120	81	2048	366	273	228
ASV 43 _	49	25	33	0	41	49	48	0	4240	1100	658	0	53	24	24	0
ASV 44 _	10	0	19	326	0	5	16	4215	0	0	9	1532	9	0	0	0
