	Wolf1_S70	Wolf10_S79	Wolf11_S80	Wolf12_S81	Wolf13_S82	Wolf14_S83	Wolf15_S84	Wolf16_S85	Wolf17_S86	Wolf18_S87	Wolf19_S88	Wolf2_S71	Wolf20_S89	Wolf21_S90	Wolf22_S91	Wolf23_S92	Wolf24_S93	Wolf25_S94	Wolf3_S72	Wolf4_S73	Wolf5_S74	Wolf6_S75	Wolf7_S76	Wolf8_S77	Wolf9_S78
ASV 1 _	86	265	1	803	90	11	46798	3204	4885	983	54	0	2051	1840	8423	122	6359	88	30752	2	2903	6968	4017	353	168
ASV 2 _	40686	5	8	1225	148	36	70	48	615	393	27	286	295	50	12	2	90	27	296	2	8010	11021	8099	3541	567
ASV 3 _	0	343	8	0	30	294	0	80	0	0	81	0	26879	29384	248	8	0	0	0	0	0	2	36	0	0
ASV 4 _	357	4857	1782	6023	212	348	2949	139	719	248	447	2417	177	4857	420	249	3137	339	1698	1	279	553	1300	1369	6676
ASV 5 _	16	298	35	184	5647	174	47	109	304	71	204	11181	119	13	496	61	7	446	389	0	24	44	31	606	9691
ASV 6 _	19	0	0	0	1	0	29	0	8001	5871	1488	0	68	0	1	24	0	0	0	0	883	2077	0	0	664
ASV 7 _	37	617	15	1880	306	107	103	6	90	41	525	1642	0	30	0	0	57	21	56	0	393	408	103	660	3980
ASV 8 _	1	1583	34	37	57	12	21	3993	1348	1458	209	0	33	7	814	42	17	231	0	0	8	15	7	68	5
ASV 9 _	159	19	20	58	113	106	89	731	280	249	502	1080	221	127	601	32	104	1547	1891	0	81	155	113	4	66
ASV 10 _	251	1429	60	15	426	2	2477	0	90	19	316	530	0	46	0	0	0	0	1011	1	319	770	52	0	416
ASV 11 _	0	0	0	234	7872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 12 _	53	117	3466	0	0	0	698	0	384	289	0	0	0	485	66	28	0	0	72	0	430	910	755	41	0
ASV 13 _	1287	0	0	0	0	0	509	0	1321	294	3720	0	7	2	0	4	0	0	0	0	2	0	0	0	0
ASV 14 _	359	0	1	0	0	0	3	0	3175	2063	752	0	0	92	0	2	2	0	0	0	38	54	49	0	0
ASV 15 _	10	0	0	346	368	226	236	72	338	301	1002	797	0	21	0	0	259	0	628	0	299	672	24	0	653
ASV 16 _	41	31	32	102	0	0	194	87	935	188	59	49	0	82	0	0	321	0	281	0	381	778	1089	620	394
ASV 17 _	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3564	1902	0	0	0
ASV 18 _	0	0	0	0	0	5195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 19 _	0	0	0	0	0	0	11	1	2661	1145	104	0	0	76	0	0	0	0	0	0	0	0	0	0	1185
