,sample_ID,samp_collect_device,geo_loc_name,lat_lon,collection_date_start,collection_date_end,Time.d.,season,month,sequencing_sample_name,Chla_mean_.satellite_HG_region.,Temperature,Ice,Chlorophyll_a,sample_name,sample_thesis,Depth,POC
1,FEVI_1_Oben_1,Fevi1,FRAM_HG4,79.028330-4.346660,8/31/2000,9/15/2000,15,summer,September,Wolf1_S70_L001_R1_001.fastq.gz,0.701968945,1428.125,0,0,Wolf1_S70,sample_01_2000_09,280,26.07
2,FEVI_1_Oben_11,Fevi1,FRAM_HG4,79.028330-4.346660,3/14/2001,3/29/2001,15,spring,March,Wolf2_S71_L001_R1_001.fastq.gz,0,1147.938,0,0,Wolf2_S71,sample_02_2001_03,280,9.13
3,FEVI_2_Oben_1,Fevi2,FRAM_HG4,79.025000-4.355000,8/14/2001,8/31/2001,17,summer,August,Wolf3_S72_L001_R1_001.fastq.gz,0.298395714,1447.222,0,0.2683369,Wolf3_S72,sample_03_2001_08,260,17.73
4,FEVI_3_Oben_3,Fevi3,FRAM_HG4,79.017330-4.329500,9/13/2002,9/28/2002,15,summer,September,Wolf4_S73_L001_R1_001.fastq.gz,0.708948883,3579.312,0,0,Wolf4_S73,removed,280,8.63
5,FEVI_3_Oben_18,Fevi3,FRAM_HG4,79.017330-4.329500,4/26/2003,5/11/2003,15,spring,May,Wolf5_S74_L001_R1_001.fastq.gz,1.282616484,161.1875,12.5,0,Wolf5_S74,sample_04_2003_05,280,15.26
6,FEVI_7_Oben_3,Fevi7,FRAM_HG4,79.016500-4.343660,7/29/2004,8/5/2004,7,summer,August,Wolf6_S75_L001_R1_001.fastq.gz,0.481114297,3391.5,0,0,Wolf6_S75,sample_05_2004_08,280,49.371
7,FEVI_7_Oben_4,Fevi7,FRAM_HG4,79.016500-4.343660,8/5/2004,8/15/2004,7,summer,August,Wolf7_S76_L001_R1_001.fastq.gz,0.526422983,3373.636,0,0.4855447,Wolf7_S76,sample_06_2004_08,280,41.97
8,FEVI_7_Oben_13,Fevi7,FRAM_HG4,79.016500-4.343660,2/28/2005,3/31/2005,31,spring,March,Wolf8_S77_L001_R1_001.fastq.gz,0.231585264,1543.625,0.125,0,Wolf8_S77,sample_07_2005_03,280,7.61251
9,FEVI_10_Oben_2,Fevi10,FRAM_HG4,79.016940-4.344440,9/5/2005,9/25/2005,20,summer,September,Wolf9_S78_L001_R1_001.fastq.gz,0.830540286,2934.571,0,0.9871591,Wolf9_S78,sample_08_2005_09,179,15.8967
10,FEVI_10_Oben_11,Fevi10,FRAM_HG4,79.016940-4.344440,4/29/2006,5/14/2006,15,spring,May,Wolf10_S79_L001_R1_001.fastq.gz,0.395336526,1095.688,4.25,0.2698823,Wolf10_S79,sample_09_2006_05,179,13.48409
11,FEVI_10_Oben_14,Fevi10,FRAM_HG4,79.016940-4.344440,6/13/2006,6/28/2006,15,spring,June,Wolf11_S80_L001_R1_001.fastq.gz,0.898610539,1690.25,0,0.643249,Wolf11_S80,sample_10_2006_06,179,23.94573
